"i","target_i","voltage","wind_velocity","rpm","tsr","efficiency"
"0.027","0.027","7.440","15.2428","1190.80","0.7608","0.4979"
"0.027","0.027","6.970","15.2528","1193.61","0.7621","0.4655"
"0.027","0.027","6.970","15.2528","1193.61","0.7621","0.4655"
"0.027","0.028","7.180","15.2360","1190.23","0.7608","0.4812"
"0.027","0.028","7.180","15.2360","1190.23","0.7608","0.4812"
"0.028","0.028","7.090","15.2252","1190.14","0.7613","0.4937"
"0.028","0.028","7.090","15.2252","1190.14","0.7613","0.4937"
"0.028","0.028","7.330","15.1976","1191.37","0.7635","0.5131"
"0.028","0.028","7.330","15.1976","1191.37","0.7635","0.5131"
"0.028","0.029","7.310","15.2036","1189.38","0.7619","0.5113"
"0.028","0.029","7.310","15.2036","1189.38","0.7619","0.5113"
"0.029","0.030","7.130","15.1888","1183.19","0.7587","0.5180"
"0.029","0.030","7.130","15.1888","1183.19","0.7587","0.5180"
"0.029","0.030","6.920","15.2232","1180.61","0.7553","0.4994"
"0.029","0.030","6.920","15.2232","1180.61","0.7553","0.4994"
"0.030","0.031","6.880","15.2492","1178.23","0.7525","0.5109"
"0.030","0.031","6.880","15.2492","1178.23","0.7525","0.5109"
"0.032","0.032","7.240","15.2328","1178.54","0.7535","0.5754"
"0.032","0.032","7.240","15.2328","1178.54","0.7535","0.5754"
"0.032","0.032","7.150","15.2480","1175.83","0.7510","0.5665"
"0.032","0.032","7.150","15.2480","1175.83","0.7510","0.5665"
"0.032","0.033","7.020","15.2476","1175.80","0.7510","0.5561"
"0.032","0.033","7.020","15.2476","1175.80","0.7510","0.5561"
"0.034","0.034","7.260","15.2384","1172.19","0.7492","0.6122"
"0.034","0.034","7.260","15.2384","1172.19","0.7492","0.6122"
"0.034","0.034","6.810","15.2288","1159.71","0.7416","0.5754"
"0.034","0.034","6.810","15.2288","1159.71","0.7416","0.5754"
"0.034","0.035","6.770","15.2244","1162.32","0.7435","0.5726"
"0.034","0.035","6.770","15.2244","1162.32","0.7435","0.5726"
"0.035","0.035","6.790","15.2072","1162.62","0.7446","0.5933"
"0.035","0.035","6.790","15.2072","1162.62","0.7446","0.5933"
"0.035","0.036","7.010","15.1924","1161.36","0.7445","0.6143"
"0.035","0.036","7.010","15.1924","1161.36","0.7445","0.6143"
"0.037","0.037","6.980","15.1992","1160.91","0.7439","0.6457"
"0.037","0.037","6.980","15.1992","1160.91","0.7439","0.6457"
"0.037","0.037","6.740","15.2024","1157.12","0.7413","0.6231"
"0.037","0.037","6.740","15.2024","1157.12","0.7413","0.6231"
"0.037","0.037","6.790","15.1808","1162.83","0.7460","0.6303"
"0.037","0.037","6.790","15.1808","1162.83","0.7460","0.6303"
"0.039","0.039","6.940","15.1732","1163.25","0.7466","0.6802"
"0.039","0.039","6.940","15.1732","1163.25","0.7466","0.6802"
"0.039","0.039","6.540","15.1988","1158.34","0.7422","0.6378"
"0.039","0.039","6.540","15.1988","1158.34","0.7422","0.6378"
"0.039","0.039","7.070","15.1936","1159.02","0.7429","0.6900"
"0.039","0.039","7.070","15.1936","1159.02","0.7429","0.6900"
"0.039","0.040","6.810","15.1764","1156.70","0.7423","0.6670"
"0.039","0.040","6.810","15.1764","1156.70","0.7423","0.6670"
"0.040","0.041","6.790","15.1912","1155.31","0.7407","0.6800"
"0.040","0.041","6.790","15.1912","1155.31","0.7407","0.6800"
"0.040","0.041","6.570","15.1568","1148.03","0.7377","0.6625"
"0.040","0.041","6.570","15.1568","1148.03","0.7377","0.6625"
"0.042","0.042","6.810","15.1680","1147.64","0.7369","0.7194"
"0.042","0.042","6.810","15.1680","1147.64","0.7369","0.7194"
"0.042","0.043","6.770","15.1508","1152.08","0.7406","0.7175"
"0.042","0.043","6.770","15.1508","1152.08","0.7406","0.7175"
"0.044","0.043","6.260","15.1444","1150.20","0.7397","0.6960"
"0.044","0.043","6.260","15.1444","1150.20","0.7397","0.6960"
"0.042","0.043","6.880","15.1676","1145.51","0.7355","0.7270"
"0.042","0.043","6.880","15.1676","1145.51","0.7355","0.7270"
"0.044","0.045","6.620","15.1616","1138.73","0.7315","0.7336"
"0.044","0.045","6.620","15.1616","1138.73","0.7315","0.7336"
"0.046","0.045","6.280","15.1932","1133.94","0.7269","0.7231"
"0.046","0.045","6.280","15.1932","1133.94","0.7269","0.7231"
"0.046","0.046","6.480","15.2064","1131.80","0.7249","0.7442"
"0.046","0.046","6.480","15.2064","1131.80","0.7249","0.7442"
"0.046","0.046","6.070","15.2124","1131.12","0.7241","0.6962"
"0.046","0.046","6.070","15.2124","1131.12","0.7241","0.6962"
"0.046","0.046","6.340","15.1924","1130.04","0.7244","0.7299"
"0.046","0.046","6.340","15.1924","1130.04","0.7244","0.7299"
"0.048","0.048","6.480","15.1860","1131.43","0.7256","0.7795"
"0.048","0.048","6.480","15.1860","1131.43","0.7256","0.7795"
"0.047","0.048","6.000","15.1648","1132.54","0.7273","0.7098"
"0.047","0.048","6.000","15.1648","1132.54","0.7273","0.7098"
"0.048","0.048","6.190","15.2020","1130.60","0.7243","0.7423"
"0.048","0.048","6.190","15.2020","1130.60","0.7243","0.7423"
"0.047","0.049","6.250","15.2000","1129.10","0.7234","0.7343"
"0.047","0.049","6.250","15.2000","1129.10","0.7234","0.7343"
"0.049","0.050","6.100","15.1976","1128.96","0.7235","0.7474"
"0.049","0.050","6.100","15.1976","1128.96","0.7235","0.7474"
"0.050","0.050","6.370","15.2092","1130.77","0.7241","0.7946"
"0.050","0.050","6.370","15.2092","1130.77","0.7241","0.7946"
"0.050","0.051","5.890","15.2644","1126.10","0.7185","0.7268"
"0.050","0.051","5.890","15.2644","1126.10","0.7185","0.7268"
"0.052","0.052","6.380","15.2252","1125.32","0.7198","0.8252"
"0.052","0.052","6.380","15.2252","1125.32","0.7198","0.8252"
"0.052","0.052","6.120","15.2328","1126.87","0.7205","0.7902"
"0.052","0.052","6.120","15.2328","1126.87","0.7205","0.7902"
"0.052","0.052","5.990","15.2328","1126.16","0.7200","0.7736"
"0.052","0.052","5.990","15.2328","1126.16","0.7200","0.7736"
"0.052","0.053","6.280","15.2268","1118.99","0.7157","0.8120"
"0.052","0.053","6.280","15.2268","1118.99","0.7157","0.8120"
"0.054","0.054","6.310","15.2240","1109.28","0.7096","0.8476"
"0.054","0.054","6.310","15.2240","1109.28","0.7096","0.8476"
"0.054","0.054","6.080","15.2260","1107.24","0.7082","0.8164"
"0.054","0.054","6.080","15.2260","1107.24","0.7082","0.8164"
"0.054","0.055","5.720","15.2320","1101.14","0.7040","0.7672"
"0.054","0.055","5.720","15.2320","1101.14","0.7040","0.7672"
"0.055","0.056","5.980","15.2400","1095.16","0.6998","0.8156"
"0.055","0.056","5.980","15.2400","1095.16","0.6998","0.8156"
"0.055","0.056","6.200","15.2640","1093.51","0.6977","0.8416"
"0.055","0.056","6.200","15.2640","1093.51","0.6977","0.8416"
"0.055","0.057","5.930","15.2580","1096.55","0.6999","0.8058"
"0.055","0.057","5.930","15.2580","1096.55","0.6999","0.8058"
"0.055","0.057","6.000","15.2448","1096.18","0.7003","0.8176"
"0.055","0.057","6.000","15.2448","1096.18","0.7003","0.8176"
"0.058","0.058","5.960","15.2480","1090.31","0.6964","0.8559"
"0.058","0.058","5.960","15.2480","1090.31","0.6964","0.8559"
"0.058","0.059","5.540","15.2256","1090.57","0.6976","0.7990"
"0.058","0.059","5.540","15.2256","1090.57","0.6976","0.7990"
"0.060","0.059","5.650","15.2132","1083.56","0.6937","0.8451"
"0.060","0.059","5.650","15.2132","1083.56","0.6937","0.8451"
"0.060","0.060","5.350","15.1856","1076.28","0.6902","0.8046"
"0.060","0.060","5.350","15.1856","1076.28","0.6902","0.8046"
"0.060","0.061","5.280","15.1584","1074.97","0.6906","0.7984"
"0.060","0.061","5.280","15.1584","1074.97","0.6906","0.7984"
"0.063","0.061","5.680","15.1504","1078.81","0.6935","0.9031"
"0.063","0.061","5.680","15.1504","1078.81","0.6935","0.9031"
"0.063","0.061","5.280","15.1556","1076.20","0.6916","0.8387"
"0.063","0.061","5.280","15.1556","1076.20","0.6916","0.8387"
"0.062","0.062","5.280","15.1700","1073.74","0.6893","0.8232"
"0.062","0.062","5.280","15.1700","1073.74","0.6893","0.8232"
"0.062","0.063","5.440","15.1804","1067.85","0.6851","0.8463"
"0.062","0.063","5.440","15.1804","1067.85","0.6851","0.8463"
"0.065","0.064","5.150","15.1288","1067.75","0.6873","0.8487"
"0.065","0.064","5.150","15.1288","1067.75","0.6873","0.8487"
"0.065","0.064","5.200","15.1484","1067.39","0.6862","0.8535"
"0.065","0.064","5.200","15.1484","1067.39","0.6862","0.8535"
"0.065","0.064","5.280","15.1416","1064.87","0.6849","0.8678"
"0.065","0.064","5.280","15.1416","1064.87","0.6849","0.8678"
"0.065","0.065","5.200","15.1188","1062.71","0.6846","0.8585"
"0.065","0.065","5.200","15.1188","1062.71","0.6846","0.8585"
"0.065","0.066","5.620","15.0736","1065.17","0.6882","0.9362"
"0.065","0.066","5.620","15.0736","1065.17","0.6882","0.9362"
"0.065","0.067","5.120","15.1040","1063.11","0.6855","0.8478"
"0.065","0.067","5.120","15.1040","1063.11","0.6855","0.8478"
"0.067","0.067","5.120","15.0756","1060.30","0.6850","0.8787"
"0.067","0.067","5.120","15.0756","1060.30","0.6850","0.8787"
"0.067","0.068","5.520","15.1220","1056.62","0.6805","0.9387"
"0.067","0.068","5.520","15.1220","1056.62","0.6805","0.9387"
