"i","target_i","voltage","wind_velocity","rpm","tsr","efficiency"
"0.026","0.027","11.460","15.0164","1729.19","1.1215","0.7725"
"0.027","0.027","11.320","15.0032","1733.12","1.1250","0.7943"
"0.027","0.027","11.320","15.0032","1733.12","1.1250","0.7943"
"0.027","0.028","11.470","14.9944","1732.72","1.1254","0.8064"
"0.027","0.028","11.470","14.9944","1732.72","1.1254","0.8064"
"0.028","0.028","11.540","15.0072","1734.12","1.1254","0.8391"
"0.028","0.028","11.540","15.0072","1734.12","1.1254","0.8391"
"0.028","0.029","11.430","15.0164","1730.92","1.1226","0.8295"
"0.028","0.029","11.430","15.0164","1730.92","1.1226","0.8295"
"0.028","0.029","11.310","15.0368","1732.52","1.1221","0.8176"
"0.028","0.029","11.310","15.0368","1732.52","1.1221","0.8176"
"0.030","0.030","11.260","15.0168","1737.80","1.1270","0.8756"
"0.030","0.030","11.260","15.0168","1737.80","1.1270","0.8756"
"0.030","0.030","11.490","15.0248","1740.69","1.1283","0.8921"
"0.030","0.030","11.490","15.0248","1740.69","1.1283","0.8921"
"0.030","0.031","11.260","15.0048","1742.58","1.1310","0.8777"
"0.030","0.031","11.260","15.0048","1742.58","1.1310","0.8777"
"0.032","0.032","11.590","14.9744","1746.10","1.1356","0.9696"
"0.032","0.032","11.590","14.9744","1746.10","1.1356","0.9696"
"0.032","0.032","11.450","14.9368","1750.31","1.1412","0.9651"
"0.032","0.032","11.450","14.9368","1750.31","1.1412","0.9651"
"0.032","0.033","11.520","14.9496","1751.33","1.1409","0.9684"
"0.032","0.033","11.520","14.9496","1751.33","1.1409","0.9684"
"0.033","0.034","11.280","14.9460","1748.27","1.1392","0.9785"
"0.033","0.034","11.280","14.9460","1748.27","1.1392","0.9785"
"0.033","0.034","11.540","14.9436","1750.44","1.1408","1.0016"
"0.033","0.034","11.540","14.9436","1750.44","1.1408","1.0016"
"0.034","0.035","11.280","14.9720","1751.06","1.1390","1.0030"
"0.034","0.035","11.280","14.9720","1751.06","1.1390","1.0030"
"0.034","0.035","11.310","14.9816","1748.47","1.1366","1.0037"
"0.034","0.035","11.310","14.9816","1748.47","1.1366","1.0037"
"0.036","0.036","11.140","14.9828","1746.57","1.1353","1.0465"
"0.036","0.036","11.140","14.9828","1746.57","1.1353","1.0465"
"0.036","0.037","11.340","15.0000","1743.59","1.1320","1.0616"
"0.036","0.037","11.340","15.0000","1743.59","1.1320","1.0616"
"0.036","0.037","11.330","15.0068","1742.99","1.1311","1.0594"
"0.036","0.037","11.330","15.0068","1742.99","1.1311","1.0594"
"0.038","0.038","11.150","14.9768","1744.54","1.1344","1.1071"
"0.038","0.038","11.150","14.9768","1744.54","1.1344","1.1071"
"0.038","0.039","11.370","14.9460","1740.56","1.1342","1.1360"
"0.038","0.039","11.370","14.9460","1740.56","1.1342","1.1360"
"0.038","0.039","11.140","14.9384","1737.00","1.1324","1.1146"
"0.038","0.039","11.140","14.9384","1737.00","1.1324","1.1146"
"0.040","0.039","10.990","14.9328","1734.19","1.1310","1.1588"
"0.040","0.039","10.990","14.9328","1734.19","1.1310","1.1588"
"0.040","0.040","10.990","14.9252","1728.53","1.1279","1.1606"
"0.040","0.040","10.990","14.9252","1728.53","1.1279","1.1606"
"0.040","0.041","11.070","14.9508","1720.73","1.1209","1.1630"
"0.040","0.041","11.070","14.9508","1720.73","1.1209","1.1630"
"0.040","0.041","11.050","14.9396","1717.57","1.1197","1.1636"
"0.040","0.041","11.050","14.9396","1717.57","1.1197","1.1636"
"0.042","0.042","10.750","14.9180","1715.67","1.1200","1.1937"
"0.042","0.042","10.750","14.9180","1715.67","1.1200","1.1937"
"0.042","0.043","10.690","14.9220","1709.09","1.1154","1.1862"
"0.042","0.043","10.690","14.9220","1709.09","1.1154","1.1862"
"0.042","0.043","11.050","14.9052","1713.65","1.1197","1.2302"
"0.042","0.043","11.050","14.9052","1713.65","1.1197","1.2302"
"0.044","0.043","10.970","14.9008","1718.62","1.1233","1.2806"
"0.044","0.043","10.970","14.9008","1718.62","1.1233","1.2806"
"0.044","0.045","10.870","14.9020","1719.48","1.1237","1.2687"
"0.044","0.045","10.870","14.9020","1719.48","1.1237","1.2687"
"0.046","0.045","10.820","14.9308","1721.19","1.1227","1.3125"
"0.046","0.045","10.820","14.9308","1721.19","1.1227","1.3125"
"0.046","0.046","10.730","14.9252","1719.35","1.1219","1.3032"
"0.046","0.046","10.730","14.9252","1719.35","1.1219","1.3032"
"0.046","0.046","10.810","14.9516","1716.66","1.1182","1.3060"
"0.046","0.046","10.810","14.9516","1716.66","1.1182","1.3060"
"0.046","0.046","10.850","14.9664","1717.38","1.1175","1.3068"
"0.046","0.046","10.850","14.9664","1717.38","1.1175","1.3068"
"0.046","0.048","10.880","14.9764","1714.89","1.1152","1.3079"
"0.046","0.048","10.880","14.9764","1714.89","1.1152","1.3079"
"0.047","0.048","10.820","14.9356","1714.96","1.1183","1.3397"
"0.047","0.048","10.820","14.9356","1714.96","1.1183","1.3397"
"0.049","0.048","10.730","14.9208","1714.04","1.1188","1.3894"
"0.049","0.048","10.730","14.9208","1714.04","1.1188","1.3894"
"0.049","0.049","10.780","14.9052","1712.21","1.1187","1.4001"
"0.049","0.049","10.780","14.9052","1712.21","1.1187","1.4001"
"0.048","0.050","10.640","14.9112","1709.42","1.1165","1.3521"
"0.048","0.050","10.640","14.9112","1709.42","1.1165","1.3521"
"0.050","0.050","10.790","14.9428","1709.09","1.1139","1.4193"
"0.050","0.050","10.790","14.9428","1709.09","1.1139","1.4193"
"0.050","0.051","10.640","14.9360","1710.33","1.1152","1.4015"
"0.050","0.051","10.640","14.9360","1710.33","1.1152","1.4015"
"0.052","0.052","10.680","14.9100","1710.33","1.1172","1.4708"
"0.052","0.052","10.680","14.9100","1710.33","1.1172","1.4708"
"0.052","0.052","10.720","14.9236","1708.96","1.1152","1.4721"
