"i","target_i","voltage","wind_velocity","rpm","tsr","efficiency"
"0.027","0.028","2.200","15.2340","511.62","0.3271","0.1475"
"0.027","0.028","2.200","15.2340","511.62","0.3271","0.1475"
"0.027","0.028","2.280","15.2152","505.77","0.3237","0.1535"
"0.027","0.028","2.280","15.2152","505.77","0.3237","0.1535"
"0.028","0.028","2.110","15.2084","500.57","0.3205","0.1475"
"0.028","0.028","2.110","15.2084","500.57","0.3205","0.1475"
"0.028","0.029","1.820","15.2024","490.98","0.3145","0.1274"
"0.028","0.029","1.820","15.2024","490.98","0.3145","0.1274"
"0.028","0.029","1.710","15.1848","484.74","0.3109","0.1201"
"0.028","0.029","1.710","15.1848","484.74","0.3109","0.1201"
"0.030","0.030","1.660","15.1788","478.59","0.3071","0.1250"
"0.030","0.030","1.660","15.1788","478.59","0.3071","0.1250"
"0.029","0.031","1.740","15.1560","472.00","0.3033","0.1273"
"0.029","0.031","1.740","15.1560","472.00","0.3033","0.1273"
"0.031","0.032","1.550","15.1540","465.00","0.2988","0.1213"
"0.031","0.032","1.550","15.1540","465.00","0.2988","0.1213"
"0.032","0.032","1.680","15.1540","453.66","0.2916","0.1357"
"0.032","0.032","1.680","15.1540","453.66","0.2916","0.1357"
"0.032","0.032","1.290","15.1832","453.66","0.2910","0.1036"
"0.032","0.032","1.290","15.1832","453.66","0.2910","0.1036"
"0.033","0.034","1.160","15.1692","435.21","0.2794","0.0963"
"0.033","0.034","1.160","15.1692","435.21","0.2794","0.0963"
"0.034","0.034","1.240","15.1748","424.43","0.2724","0.1060"
"0.034","0.034","1.240","15.1748","424.43","0.2724","0.1060"
"0.034","0.035","1.040","15.1712","415.13","0.2665","0.0890"
"0.034","0.035","1.040","15.1712","415.13","0.2665","0.0890"
"0.035","0.035","0.990","15.1652","406.52","0.2611","0.0873"
"0.035","0.035","0.990","15.1652","406.52","0.2611","0.0873"
"0.035","0.035","0.880","15.1716","398.77","0.2560","0.0774"
"0.035","0.035","0.880","15.1716","398.77","0.2560","0.0774"
"0.036","0.037","0.800","15.1492","389.22","0.2502","0.0727"
"0.036","0.037","0.800","15.1492","389.22","0.2502","0.0727"
"0.037","0.037","0.680","15.1544","377.63","0.2427","0.0636"
"0.037","0.037","0.680","15.1544","377.63","0.2427","0.0636"
"0.035","0.037","0.570","15.1652","364.07","0.2338","0.0501"
"0.035","0.037","0.570","15.1652","364.07","0.2338","0.0501"
"0.036","0.038","0.490","15.1576","364.07","0.2339","0.0444"
"0.036","0.038","0.490","15.1576","364.07","0.2339","0.0444"
"0.037","0.039","0.570","15.1328","352.09","0.2266","0.0534"
"0.037","0.039","0.570","15.1328","352.09","0.2266","0.0534"
"0.038","0.039","0.360","15.1740","340.02","0.2182","0.0344"
"0.038","0.039","0.360","15.1740","340.02","0.2182","0.0344"
"0.037","0.040","0.240","15.1712","327.79","0.2104","0.0224"
"0.037","0.040","0.240","15.1712","327.79","0.2104","0.0224"
"0.037","0.041","0.160","15.1972","327.79","0.2101","0.0148"
"0.037","0.041","0.160","15.1972","327.79","0.2101","0.0148"
"0.038","0.041","0.130","15.2076","311.18","0.1993","0.0122"
"0.038","0.041","0.130","15.2076","311.18","0.1993","0.0122"
