"i","target_i","voltage","wind_velocity","rpm","tsr","efficiency"
"0.027","0.027","4.690","15.1536","838.16","0.5387","0.3194"
"0.027","0.027","4.690","15.1536","838.16","0.5387","0.3194"
"0.027","0.028","4.660","15.1584","830.58","0.5336","0.3170"
"0.027","0.028","4.660","15.1584","830.58","0.5336","0.3170"
"0.029","0.028","4.240","15.1944","827.18","0.5302","0.3078"
"0.029","0.028","4.240","15.1944","827.18","0.5302","0.3078"
"0.028","0.029","4.390","15.2224","825.40","0.5281","0.3058"
"0.028","0.029","4.390","15.2224","825.40","0.5281","0.3058"
"0.028","0.029","4.150","15.2408","821.28","0.5248","0.2881"
"0.028","0.029","4.150","15.2408","821.28","0.5248","0.2881"
"0.029","0.030","4.520","15.2704","819.30","0.5225","0.3232"
"0.029","0.030","4.520","15.2704","819.30","0.5225","0.3232"
"0.030","0.031","4.250","15.2224","814.60","0.5212","0.3173"
"0.030","0.031","4.250","15.2224","814.60","0.5212","0.3173"
"0.031","0.032","4.120","15.2136","811.77","0.5197","0.3183"
"0.031","0.032","4.120","15.2136","811.77","0.5197","0.3183"
"0.031","0.032","4.130","15.2204","810.04","0.5183","0.3186"
"0.031","0.032","4.130","15.2204","810.04","0.5183","0.3186"
"0.031","0.032","4.020","15.2324","810.04","0.5179","0.3095"
"0.031","0.032","4.020","15.2324","810.04","0.5179","0.3095"
"0.033","0.033","4.450","15.2664","806.53","0.5145","0.3624"
"0.033","0.033","4.450","15.2664","806.53","0.5145","0.3624"
"0.033","0.034","3.960","15.2596","804.58","0.5135","0.3229"
"0.033","0.034","3.960","15.2596","804.58","0.5135","0.3229"
"0.034","0.035","4.180","15.2896","803.00","0.5115","0.3490"
"0.034","0.035","4.180","15.2896","803.00","0.5115","0.3490"
"0.034","0.035","4.320","15.2720","802.03","0.5115","0.3620"
"0.034","0.035","4.320","15.2720","802.03","0.5115","0.3620"
"0.035","0.035","3.960","15.2484","800.79","0.5115","0.3431"
"0.035","0.035","3.960","15.2484","800.79","0.5115","0.3431"
"0.035","0.036","4.070","15.2356","801.07","0.5121","0.3537"
"0.035","0.036","4.070","15.2356","801.07","0.5121","0.3537"
"0.037","0.037","4.080","15.2128","801.40","0.5130","0.3765"
"0.037","0.037","4.080","15.2128","801.40","0.5130","0.3765"
"0.037","0.037","4.370","15.1652","799.36","0.5133","0.4070"
"0.037","0.037","4.370","15.1652","799.36","0.5133","0.4070"
"0.037","0.038","3.920","15.1732","798.67","0.5126","0.3643"
"0.037","0.038","3.920","15.1732","798.67","0.5126","0.3643"
"0.039","0.039","3.950","15.1492","798.24","0.5132","0.3891"
"0.039","0.039","3.950","15.1492","798.24","0.5132","0.3891"
"0.039","0.039","4.300","15.1232","797.34","0.5135","0.4256"
"0.039","0.039","4.300","15.1232","797.34","0.5135","0.4256"
"0.039","0.039","4.290","15.1080","795.01","0.5125","0.4258"
"0.039","0.039","4.290","15.1080","795.01","0.5125","0.4258"
"0.040","0.041","4.070","15.1340","794.26","0.5111","0.4123"
"0.040","0.041","4.070","15.1340","794.26","0.5111","0.4123"
"0.041","0.041","3.820","15.1740","793.54","0.5093","0.3934"
"0.041","0.041","3.820","15.1740","793.54","0.5093","0.3934"
"0.041","0.041","4.330","15.2000","792.62","0.5078","0.4437"
"0.041","0.041","4.330","15.2000","792.62","0.5078","0.4437"
"0.043","0.042","4.110","15.1864","789.64","0.5064","0.4428"
"0.043","0.042","4.110","15.1864","789.64","0.5064","0.4428"
"0.042","0.043","3.970","15.1664","789.66","0.5071","0.4194"
"0.042","0.043","3.970","15.1664","789.66","0.5071","0.4194"
"0.043","0.043","3.940","15.1232","789.27","0.5083","0.4299"
"0.043","0.043","3.940","15.1232","789.27","0.5083","0.4299"
"0.044","0.044","4.110","15.1128","787.07","0.5072","0.4598"
"0.044","0.044","4.110","15.1128","787.07","0.5072","0.4598"
"0.044","0.045","3.720","15.0948","784.86","0.5064","0.4178"
"0.044","0.045","3.720","15.0948","784.86","0.5064","0.4178"
"0.044","0.045","3.800","15.0868","784.70","0.5065","0.4274"
"0.044","0.045","3.800","15.0868","784.70","0.5065","0.4274"
"0.047","0.046","3.950","15.0952","784.88","0.5064","0.4739"
"0.047","0.046","3.950","15.0952","784.88","0.5064","0.4739"
"0.046","0.046","3.860","15.1192","782.82","0.5042","0.4511"
"0.046","0.046","3.860","15.1192","782.82","0.5042","0.4511"
"0.046","0.047","3.990","15.0968","780.67","0.5036","0.4681"
"0.046","0.047","3.990","15.0968","780.67","0.5036","0.4681"
"0.048","0.048","3.510","15.0624","779.40","0.5039","0.4328"
"0.048","0.048","3.510","15.0624","779.40","0.5039","0.4328"
"0.048","0.048","3.900","15.0624","780.63","0.5047","0.4808"
"0.048","0.048","3.900","15.0624","780.63","0.5047","0.4808"
"0.048","0.048","3.800","15.0664","781.99","0.5055","0.4681"
"0.048","0.048","3.800","15.0664","781.99","0.5055","0.4681"
"0.050","0.050","3.630","15.0228","782.19","0.5071","0.4699"
"0.050","0.050","3.630","15.0228","782.19","0.5071","0.4699"
"0.050","0.050","3.970","15.0524","781.21","0.5054","0.5109"
"0.050","0.050","3.970","15.0524","781.21","0.5054","0.5109"
"0.050","0.050","3.410","15.1096","779.91","0.5027","0.4339"
"0.050","0.050","3.410","15.1096","779.91","0.5027","0.4339"
"0.050","0.051","3.420","15.1156","776.21","0.5001","0.4346"
"0.050","0.051","3.420","15.1156","776.21","0.5001","0.4346"
"0.052","0.052","3.720","15.1240","774.41","0.4987","0.4907"
"0.052","0.052","3.720","15.1240","774.41","0.4987","0.4907"
"0.052","0.052","3.800","15.1452","773.57","0.4974","0.4993"
"0.052","0.052","3.800","15.1452","773.57","0.4974","0.4993"
"0.052","0.053","3.500","15.1360","772.35","0.4970","0.4607"
"0.052","0.053","3.500","15.1360","772.35","0.4970","0.4607"
"0.054","0.054","3.370","15.1484","771.74","0.4962","0.4596"
"0.054","0.054","3.370","15.1484","771.74","0.4962","0.4596"
"0.054","0.054","3.350","15.2192","768.43","0.4917","0.4504"
"0.054","0.054","3.350","15.2192","768.43","0.4917","0.4504"
"0.054","0.054","3.220","15.2504","762.87","0.4872","0.4304"
"0.054","0.054","3.220","15.2504","762.87","0.4872","0.4304"
"0.054","0.055","3.570","15.2388","762.97","0.4876","0.4782"
"0.054","0.055","3.570","15.2388","762.97","0.4876","0.4782"
"0.056","0.056","3.240","15.1984","757.57","0.4854","0.4535"
"0.056","0.056","3.240","15.1984","757.57","0.4854","0.4535"
"0.056","0.057","3.160","15.1648","754.49","0.4845","0.4455"
"0.056","0.057","3.160","15.1648","754.49","0.4845","0.4455"
"0.056","0.057","3.590","15.1652","749.00","0.4810","0.5059"
"0.056","0.057","3.590","15.1652","749.00","0.4810","0.5059"
"0.056","0.057","3.560","15.1940","748.66","0.4799","0.4990"
"0.056","0.057","3.560","15.1940","748.66","0.4799","0.4990"
"0.058","0.058","3.080","15.2244","745.88","0.4771","0.4443"
"0.058","0.058","3.080","15.2244","745.88","0.4771","0.4443"
"0.058","0.059","3.180","15.2412","745.80","0.4766","0.4572"
"0.058","0.059","3.180","15.2412","745.80","0.4766","0.4572"
"0.061","0.059","3.400","15.2336","745.85","0.4768","0.5150"
"0.061","0.059","3.400","15.2336","745.85","0.4768","0.5150"
"0.060","0.060","3.000","15.2232","744.15","0.4761","0.4479"
"0.060","0.060","3.000","15.2232","744.15","0.4761","0.4479"
"0.061","0.061","2.960","15.2636","740.21","0.4723","0.4458"
"0.061","0.061","2.960","15.2636","740.21","0.4723","0.4458"
"0.061","0.061","3.360","15.2624","737.76","0.4708","0.5061"
"0.061","0.061","3.360","15.2624","737.76","0.4708","0.5061"
"0.060","0.062","2.890","15.3060","736.08","0.4684","0.4245"
"0.060","0.062","2.890","15.3060","736.08","0.4684","0.4245"
"0.063","0.063","2.980","15.3260","733.57","0.4661","0.4577"
"0.063","0.063","2.980","15.3260","733.57","0.4661","0.4577"
"0.063","0.063","3.280","15.2800","732.85","0.4671","0.5083"
"0.063","0.063","3.280","15.2800","732.85","0.4671","0.5083"
"0.063","0.064","2.860","15.2960","729.56","0.4645","0.4420"
"0.063","0.064","2.860","15.2960","729.56","0.4645","0.4420"
"0.063","0.064","2.760","15.3200","727.42","0.4624","0.4245"
"0.063","0.064","2.760","15.3200","727.42","0.4624","0.4245"
"0.065","0.065","2.960","15.2968","722.38","0.4599","0.4718"
"0.065","0.065","2.960","15.2968","722.38","0.4599","0.4718"
"0.065","0.065","2.690","15.2748","718.93","0.4584","0.4308"
"0.065","0.065","2.690","15.2748","718.93","0.4584","0.4308"
"0.065","0.066","2.960","15.2940","717.76","0.4571","0.4721"
"0.065","0.066","2.960","15.2940","717.76","0.4571","0.4721"
"0.067","0.067","2.680","15.2892","713.12","0.4542","0.4411"
"0.067","0.067","2.680","15.2892","713.12","0.4542","0.4411"
"0.068","0.067","2.680","15.3036","712.65","0.4535","0.4462"
"0.068","0.067","2.680","15.3036","712.65","0.4535","0.4462"
"0.068","0.068","3.010","15.2936","711.42","0.4530","0.5023"
"0.068","0.068","3.010","15.2936","711.42","0.4530","0.5023"
"0.068","0.068","3.040","15.3252","708.81","0.4504","0.5041"
"0.068","0.068","3.040","15.3252","708.81","0.4504","0.5041"
"0.070","0.069","2.460","15.2856","706.51","0.4501","0.4232"
"0.070","0.069","2.460","15.2856","706.51","0.4501","0.4232"
"0.070","0.070","2.900","15.3056","702.25","0.4468","0.4970"
"0.070","0.070","2.900","15.3056","702.25","0.4468","0.4970"
"0.070","0.070","2.860","15.3056","701.37","0.4463","0.4901"
"0.070","0.070","2.860","15.3056","701.37","0.4463","0.4901"
"0.070","0.071","2.670","15.3124","700.13","0.4453","0.4569"
"0.070","0.071","2.670","15.3124","700.13","0.4453","0.4569"
"0.070","0.071","2.690","15.3088","697.75","0.4439","0.4607"
"0.070","0.071","2.690","15.3088","697.75","0.4439","0.4607"
"0.070","0.072","2.740","15.2884","696.14","0.4435","0.4711"
"0.070","0.072","2.740","15.2884","696.14","0.4435","0.4711"
"0.072","0.072","2.340","15.2628","689.29","0.4398","0.4160"
"0.072","0.072","2.340","15.2628","689.29","0.4398","0.4160"
"0.073","0.073","2.380","15.2560","688.31","0.4394","0.4294"
"0.073","0.073","2.380","15.2560","688.31","0.4394","0.4294"
"0.074","0.074","2.300","15.2212","687.48","0.4399","0.4236"
"0.074","0.074","2.300","15.2212","687.48","0.4399","0.4236"
"0.075","0.075","2.590","15.2336","682.53","0.4363","0.4822"
"0.075","0.075","2.590","15.2336","682.53","0.4363","0.4822"
"0.075","0.075","2.370","15.2288","680.58","0.4352","0.4416"
"0.075","0.075","2.370","15.2288","680.58","0.4352","0.4416"
"0.075","0.075","2.500","15.2188","679.74","0.4350","0.4669"
"0.075","0.075","2.500","15.2188","679.74","0.4350","0.4669"
"0.078","0.076","2.450","15.2056","680.56","0.4359","0.4771"
"0.078","0.076","2.450","15.2056","680.56","0.4359","0.4771"
"0.075","0.076","2.410","15.1672","681.21","0.4374","0.4546"
"0.075","0.076","2.410","15.1672","681.21","0.4374","0.4546"
"0.078","0.078","2.430","15.1652","683.74","0.4391","0.4769"
"0.078","0.078","2.430","15.1652","683.74","0.4391","0.4769"
"0.078","0.078","2.480","15.1972","683.36","0.4379","0.4837"
"0.078","0.078","2.480","15.1972","683.36","0.4379","0.4837"
